Student GUID,Name,Research Interests,University Field
5a03b3d1-dd89-4e0a-bae7-05f198e2dc24,Brandon Gomez,"Differential Equations,Applied Mathematics",Mathematics
2c27e291-e374-4f53-acc4-a03520fcd473,Jose Brown,"Theoretical Physics,Condensed Matter Physics",Physics
04b7c9f5-c188-4f55-bbe5-05cc473a0e2f,Sharon Schultz,"Microeconomics,Financial Economics,Development Economics",Economics
79f982ab-346f-4556-8d5e-352e9afe88f5,Debbie Martinez,"Blockchain,Software Engineering,Data Science",Computer Science
c39eb28e-c55d-4745-851c-8c11d01e6ede,Jennifer Santiago,"History of Science,Military History,Modern History",History
ffdd53f6-2d2f-4ec3-899a-7fa4abe73de8,Joseph Lopez,"Environmental Chemistry,Materials Science,Biochemistry",Chemistry
ad853129-3e69-447d-9fe9-d4a8759b1d4b,Bernard Young,"Geometry,Algebra,Probability",Mathematics
3c8cc867-7bb6-4324-93db-0d783818669a,Mark Nichols,"Developmental Psychology,Health Psychology,Clinical Psychology",Psychology
df40121b-0d68-49cb-9a5d-25fd501853a0,Gina Bishop,"Differential Equations,Calculus",Mathematics
a68525ca-8203-41b8-ab0c-fda8c84774bf,Jeffery Maxwell,"History of Science,Social History,Political History",History
b5670a01-8cbe-4b17-a7b3-2a0da2138ab5,Jacob Davidson,"Novel,Comparative Literature,Poetry",Literature
187b1471-2109-4b88-aefe-94aa477a240c,Amanda Nguyen,"Biopsychology,Clinical Psychology",Psychology
db47987d-aecb-48bb-b1a0-916c2142df15,Kyle Cooper,"History of Science,Military History,Modern History",History
5a56c42b-0886-4c5a-a9f7-8ca2b0db8a6a,Calvin Williams,"Financial Economics,Public Economics,Development Economics",Economics
dfcee183-58de-4337-98a9-920fe8b9e46f,Francisco Lewis,"Differential Equations,Topology,Algebra",Mathematics
59881dc6-e38e-4f84-9162-3955e8e8d0d4,Micheal Clark,"Photonics,Condensed Matter Physics",Physics
ae120d00-adfb-4db8-89fa-c9f5460aad29,Mark Harrison,"Computer Vision,Artificial Intelligence,Human-Computer Interaction",Computer Science
17e4ba40-4b1a-40f7-957f-62db5c8695d4,Andrea Reynolds,"Econometrics,Development Economics",Economics
646da749-17fc-40f8-8530-598b46879038,Tina Adams,"Software Engineering,Aerospace Engineering",Engineering
59326d45-2767-4225-9e25-c935efde1e86,Nancy Gomez,"Photonics,Cosmology,Particle Physics",Physics
bd2eee52-a634-4a50-a119-cf0f38d44512,Tristan Hendricks MD,"Novel,Comparative Literature,Drama",Literature
8ac87389-068e-4846-bd65-9a4dcaf501aa,Michael Benjamin,"Social History,Cultural History,Economic History",History
f832b41f-b023-4519-baef-03b7bb7549dc,Julie Ray,"Rhetoric,Poetry",Literature
71427c52-c3ed-48d5-97d9-f75e7819aea5,Travis Nielsen,"Cognitive Psychology,Biopsychology,Social Psychology",Psychology
51b81864-0c8b-4178-9a61-35fe860d87a5,April Golden,"Electrical Engineering,Biomedical Engineering",Engineering
31044b7c-a39e-495f-87bc-21229fb947a3,Caroline Donaldson,"Differential Equations,Applied Mathematics,Mathematical Physics",Mathematics
50350be2-df51-4f92-8769-a959f4c8c233,Jessica Moore,"Behavioral Economics,Health Economics,Labor Economics",Economics
77f44fe8-ccbc-43de-9dbd-a6bdbf867647,Holly Thomas,"Cognitive Psychology,Experimental Psychology,Clinical Psychology",Psychology
e498de09-dab8-4b8c-85b3-32e55aa57849,James Thomas,"Astrophysics,Condensed Matter Physics,Quantum Mechanics",Physics
84b80f3d-2f03-4364-8a14-21ef1fb5fbad,Ryan Nelson,"Theoretical Physics,Astrophysics,Condensed Matter Physics",Physics
f8ca7c05-3933-4268-9664-3f62b8bac9bb,Jon Ferguson,"Organic Chemistry,Analytical Chemistry",Chemistry
cd8e4415-9730-49b2-820b-c2f6664fa4fb,Brenda Nelson,"Conservation Biology,Microbiology",Biology
7c535e5c-74ec-47fa-8981-9dddef48d63b,Jonathan Sutton,"Materials Science,Polymer Science,Analytical Chemistry",Chemistry
8192d961-e556-4101-a1a3-eea6d66ae36e,John Flynn,"Macroeconomics,Financial Economics,Development Economics",Economics
cf9daeb0-d0b5-4dba-863c-f5fc6d5b1abe,Nicholas Tyler,"Civil Engineering,Environmental Engineering,Aerospace Engineering",Engineering
b0ea4abf-c1f0-4799-bfda-73a53e61864f,Colton Thompson,"World Literature,Literary Criticism,Poetry",Literature
cbef1d95-0934-41fa-9713-e7db2e52c9bf,Annette Davis,"Comparative Literature,Rhetoric,Narrative Theory",Literature
d94d791d-eb20-4e79-b82b-d3b1f75eb86f,Devin Morales,"Modern History,Military History,Ancient History",History
6c8dfbf2-a4b2-4181-b768-ba9b5e227922,Hannah Wolf,"Theoretical Physics,Statistical Mechanics,Quantum Mechanics",Physics
3aa2b374-e307-450d-8a45-c08c0e938fce,Tracy Armstrong,"Statistics,Probability,Topology",Mathematics
da1254f2-0698-4553-9e08-e7132ea236c2,Megan Jackson,"Medieval History,Political History,World History",History
466853b3-914f-4355-b071-7e147dee7245,Jose Riddle,"Creative Writing,Rhetoric,World Literature",Literature
1c3a9dc8-5a91-49e0-9cf3-dd0f838b9e42,Joanne Mueller,"Computer Vision,Artificial Intelligence,Human-Computer Interaction",Computer Science
79311bbd-6172-44a5-8fcc-a88b3d32443f,Kent Tran,"Electrical Engineering,Mechanical Engineering",Engineering
9022f608-9f3f-48f0-ad4e-953669775e49,Debbie Li,"Statistical Mechanics,Quantum Mechanics,Cosmology",Physics
d9a029c6-2757-44b6-a5c1-af05dacdf869,Joseph Ellis,"Creative Writing,World Literature,Historiography",Literature
e0df5ff8-41a4-4fa9-8adf-66e6e013165f,Roy Ray,"Polymer Science,Theoretical Chemistry,Analytical Chemistry",Chemistry
8dc14569-dca9-4448-8f63-41114051ed9b,Linda Green,"Astrophysics,Quantum Mechanics,Particle Physics",Physics
db6ae7dd-5335-45ee-9223-52535c8c42d9,Jeffrey Smith,"Electrical Engineering,Environmental Engineering",Engineering
d67cb532-6a50-4e9e-94d3-380abcbada63,Mr. Justin Short,"Blockchain,Cybersecurity,Computer Vision",Computer Science
ff04a4f1-027d-4d41-8683-1d09ddc795a7,Emily Blackburn,"Environmental Chemistry,Biochemistry",Chemistry
e4597996-2686-44ba-8435-d5897786f27f,Julia Young,"Behavioral Economics,Health Economics,Public Economics",Economics
1c97a5f7-1cc1-44c1-80c4-46868cf2c5d4,Duane Rivera,"Forensic Psychology,Clinical Psychology",Psychology
9895c52e-5ab5-4c73-935a-e74566a92a14,Angela Gardner,"Environmental Chemistry,Inorganic Chemistry,Organic Chemistry",Chemistry
fa4b46b3-09e2-4619-a945-49d19a54de95,Andrew Miller,"Artificial Intelligence,Quantum Computing",Computer Science
6e85cb9c-71ed-41b0-8622-fc5ca3516180,Mandy Garrett,"Comparative Literature,Historiography,Narrative Theory",Literature
77443eba-6c78-41b8-96ba-f2602bb110eb,Tonya Davis,"Probability,Algebra",Mathematics
a3bd8a58-52e5-472c-b2a7-dca63af8e4bc,Thomas Robles,"Condensed Matter Physics,Cosmology,Particle Physics",Physics
26981b0a-c500-4e74-8d34-bcb349742ba0,Christopher Daniels,"Modern History,Economic History,Ancient History",History
cae6dd61-559e-439e-ada4-6e6313882e88,Vincent Allen,"Comparative Literature,Rhetoric,Historiography",Literature
b9695b3b-a246-409c-9340-dcf41aa9ff29,Brittany Chang,"Behavioral Economics,Health Economics,Development Economics",Economics
af59ae73-ba6a-47b7-be7b-542feaaec743,Douglas Patel,"Creative Writing,Literary Criticism,Narrative Theory",Literature
eefd55a7-89b7-4b71-b6d5-5dbf61c05ac8,Amanda Henderson,"Artificial Intelligence,Quantum Computing",Computer Science
d1e7bae3-6ee2-4878-badc-cf92c02c1258,Taylor Costa,"Cultural History,Ancient History",History
914a17dd-8c75-4588-ba8a-17420b41d53a,Zachary Cruz,"Biopsychology,Forensic Psychology,Clinical Psychology",Psychology
51637878-4eb8-4848-a2ba-a9f0f2e28d91,Dennis Delgado,"Geometry,Calculus,Applied Mathematics",Mathematics
fcba647e-08e5-43ff-85ce-7182a06917d7,Amy Gallagher,"Systems Engineering,Electrical Engineering,Civil Engineering",Engineering
2d963549-1761-47a1-938f-64e125e09046,Matthew Short,"Topology,Geometry,Algebra",Mathematics
539e3a02-c756-43fc-b4c1-0f3a8e673d2b,Evan Johnson,"Number Theory,Probability,Algebra",Mathematics
c03c15a6-2324-4a36-9732-e068812322c0,Donna Hays,"Inorganic Chemistry,Polymer Science,Medicinal Chemistry",Chemistry
7bec713b-ebc5-443c-a0b4-cc8092881e29,Dorothy Berry,"Inorganic Chemistry,Polymer Science,Medicinal Chemistry",Chemistry
2d4178bb-e8bc-4f8b-9e9f-eb4c147c242f,Jacqueline Schmidt,"Ecology,Conservation Biology,Biochemistry",Biology
ac2087b4-ef74-4b5e-abad-5302f9d7e368,Michael West,"Astrophysics,Condensed Matter Physics,Quantum Mechanics",Physics
5f2edb16-224f-417c-967f-dcb0fffe93aa,Samantha Stewart,"Software Engineering,Mechanical Engineering,Aerospace Engineering",Engineering
d6bc4ddd-f61a-4e2b-bf02-a00f02df23dc,Angela Melton,"Organic Chemistry,Biochemistry",Chemistry
b9b2e50a-f6bf-4cb8-8731-4c642f27d9aa,Christy Andrade,"Social History,History of Science,Modern History",History
b13e4b95-0f47-40dc-855f-157369a0c67c,James Moreno,"Materials Science,Polymer Science,Physical Chemistry",Chemistry
cb5d9fe2-4d90-4130-b40b-ba6d58e28df2,Erika Santos,"Medieval History,Economic History,Ancient History",History
b5bd6464-9776-4c29-b59e-15a5f2cfe1b7,Christina Sawyer,"Immunology,Neuroscience",Biology
a2f7c49e-49fe-45de-b2ce-7d4b166fb485,Margaret Stevens,"Polymer Science,Organic Chemistry,Medicinal Chemistry",Chemistry
7f6cf00a-5ff3-4588-af12-11e8fe2bb329,Jeremy Burns,"Astrophysics,Quantum Mechanics",Physics
3c505765-dd09-4d26-8952-298912beee45,Bryan Sanchez,"International Economics,Macroeconomics,Labor Economics",Economics
c762335c-dced-4b09-ab2d-385516044600,Steven Pena,"Comparative Literature,Narrative Theory",Literature
f20b0ac1-5c0b-4fdd-b84f-243633fd87dd,Nathaniel Barnett,"Creative Writing,Historiography,Poetry",Literature
6706ca76-3896-4d5a-a911-f4ef5843547b,Dalton Jones,"Statistical Mechanics,Condensed Matter Physics,Cosmology",Physics
1e44e2b4-8fe5-4711-8b7b-2fc03fb48c13,Regina Lewis,"Statistical Mechanics,Theoretical Physics",Physics
faa13410-548f-44a9-8fc7-c814aa71cd0f,Beth Vargas,"Financial Economics,Labor Economics,Development Economics",Economics
4735d572-dd7e-4579-956d-307c7fdc2016,Kurt Cline,"Macroeconomics,Econometrics,Financial Economics",Economics
9647871c-091b-43dd-bc10-0b378e14f608,Andrew Mcknight,"World Literature,Narrative Theory",Literature
958ccd32-8163-4d7b-9427-6b541879c04b,Bradley Hansen,"Personality Psychology,Social Psychology,Developmental Psychology",Psychology
71ca9819-f21d-4c9e-bdce-c2236d393488,Jessica Anderson,"Astrophysics,Statistical Mechanics,Nuclear Physics",Physics
214ed8fe-85fb-460d-a9ef-8fa23fa72c06,Larry Ortiz,"Social History,Cultural History,World History",History
f7e4e890-3497-4fb0-a67d-ae00ed1a3567,Jenna Gamble,"Cloud Computing,Artificial Intelligence,Data Science",Computer Science
3eb6efad-3f42-405e-8d8e-328ea36fa4a2,Michelle Potter,"Topology,Probability,Calculus",Mathematics
0539bc3d-4c94-4a9b-abf0-8d698267e792,Joseph Jackson,"Inorganic Chemistry,Physical Chemistry,Theoretical Chemistry",Chemistry
c481cae3-dcfb-4a79-b3c2-36f27db49095,Sierra Ferguson,"Software Engineering,Chemical Engineering,Aerospace Engineering",Engineering
14d73309-c8ba-4250-8e98-310071f449c3,Lindsay Harrison,"Cloud Computing,Software Engineering,Data Science",Computer Science
a3f14c43-48ea-461d-8ee8-1ea74ac6e9bd,Lindsey Sullivan,"Statistics,Differential Equations,Algebra",Mathematics
4f4a5a24-969e-4a9f-aa0c-53044b49a1b8,Jill George,"Drama,Narrative Theory",Literature
bb5c565c-1fa0-4c06-921a-d9189f289e46,Morgan Bullock,"Health Economics,Financial Economics",Economics
d86041fa-f7f0-4ed7-8a31-14a5b736ed9f,Allison Wyatt,"Software Engineering,Human-Computer Interaction,Quantum Computing",Computer Science
2ec042c0-4d42-413e-95f3-b0aea0d0aec2,Heather Ruiz,"Experimental Psychology,Psychometrics,Forensic Psychology",Psychology
c0800a2a-e20e-4ea9-acc0-b77fc5c3b831,Nicholas Chavez,"Environmental Chemistry,Inorganic Chemistry,Theoretical Chemistry",Chemistry
11cfa9f9-72b1-40d0-9f2a-deefc5f9f8f8,Colleen Munoz DDS,"Econometrics,Health Economics,Development Economics",Economics
033a2648-d99d-4134-9b12-1f922d702d02,Patrick Carlson,"History of Science,Cultural History,Modern History",History
ad82e238-3041-4eb8-905f-b52a437d8dd0,Evelyn Yates,"Military History,Cultural History,Political History",History
dc5fa41e-ba1d-4cb1-b5c1-d85e485383b1,Elizabeth Kelley,"Creative Writing,World Literature,Narrative Theory",Literature
9535980a-f23a-4b95-8108-807981c6273c,Debra Garza,"Cell Biology,Genetics,Immunology",Biology
c8242ef8-facc-4896-992d-79dbe3e82bc6,Cory Patel,"Medieval History,Economic History",History
d3ee447a-833d-4eed-95f6-ea52988d7f67,Rachel Waters,"Medieval History,Economic History,World History",History
971364a3-68e4-4543-9b7b-a18eca082c89,James Hall,"Photonics,Theoretical Physics,Particle Physics",Physics
3ce21033-da2d-44ef-ab44-faf8f5825cce,Kathryn Bright,"Biopsychology,Health Psychology,Developmental Psychology",Psychology
7de23e88-4489-42a4-b53c-ade08e878144,Sean Hansen PhD,"Differential Equations,Applied Mathematics,Number Theory",Mathematics
d6c91ad7-423b-4624-915c-ed56a9472933,Heather Hart,"Computer Vision,Machine Learning",Computer Science
e82048dc-d09c-4bc9-ad63-51d82ca422d8,Scott Gonzales,"Differential Equations,Probability,Calculus",Mathematics
bfef88a3-fa70-4de3-95b5-cc2810b6a4af,Stephen Clay,"Conservation Biology,Microbiology",Biology
26a96064-cb10-4c23-964a-65ff01a61c3f,Jennifer Kim,"Blockchain,Machine Learning,Cybersecurity",Computer Science
df763a49-f18c-4618-86d2-11ba3c6c9f1c,Larry Lopez,"Forensic Psychology,Psychometrics,Personality Psychology",Psychology
e6831453-6db2-4f26-ad2c-15f1ee2df754,Brendan Park,"Biomedical Engineering,Chemical Engineering,Aerospace Engineering",Engineering
fc6d05ce-6e2e-4f27-96da-d7da9a5b240d,Jason Cruz,"Software Engineering,Machine Learning,Data Science",Computer Science
6fb34517-e81b-4bd5-9ca6-6c3104ab0263,Elizabeth Martinez,"Econometrics,Public Economics,Labor Economics",Economics
284b2724-2d69-48fc-ac4a-0096b8b52d9a,Martin Gay,"Theoretical Physics,Cosmology,Experimental Physics",Physics
b6f316b3-b90e-4ee5-ae5b-37f3f388d141,William Baxter,"Behavioral Economics,Development Economics",Economics
07fedc26-0b5d-41ac-a4b0-476adf4fda28,Joseph Gibson,"Number Theory,Calculus",Mathematics
0140d284-94b2-4edc-b157-798a60253c22,Jesse Flowers,"Astrophysics,Photonics",Physics
1fec71ee-aef6-4f32-b691-6c065aed0a51,Nicholas Evans,"Novel,Narrative Theory",Literature
040a440d-4c37-4200-b327-c16820c359b9,Peter Williams,"Biopsychology,Social Psychology",Psychology
9d921622-8fe5-4f42-9bdf-a3e762179102,Michael Thornton,"Quantum Mechanics,Experimental Physics,Particle Physics",Physics
2330c659-4a4d-450f-9d1e-c56ac6197474,Amber Mayo,"Computer Vision,Human-Computer Interaction,Machine Learning",Computer Science
0a612a3e-5b6c-4c12-8d31-365770e818ee,Michael Mcguire,"Nuclear Physics,Experimental Physics",Physics
a517462c-6a61-4c68-89b3-942b75d89f2e,Jeremy Grant,"Medieval History,Cultural History,Political History",History
aaef61d7-61f9-4f53-9b5a-bdb2c7bf00cf,Sharon Finley,"Systems Engineering,Software Engineering,Industrial Engineering",Engineering
613394f1-accf-4396-b35e-d76d3d7af603,Thomas Johnson DDS,"Astrophysics,Statistical Mechanics,Experimental Physics",Physics
9805dedb-a65b-4f84-b088-0340ec59a1cf,Troy Perez,"Biomedical Engineering,Industrial Engineering,Aerospace Engineering",Engineering
7238d5c6-acca-4101-a1c4-146f34bc7d89,Timothy Hall,"Statistical Mechanics,Nuclear Physics,Particle Physics",Physics
61e84f69-6d4d-42b8-b016-1b1a9b384319,Lisa Harris,"Literary Criticism,Drama,Narrative Theory",Literature
254765d0-373c-41db-b0a4-4ab15ca85146,Ryan Lewis,"Electrical Engineering,Chemical Engineering,Environmental Engineering",Engineering
6e08e318-497a-4951-9251-6fa0d3472d1e,Omar Bailey,"Cloud Computing,Artificial Intelligence,Machine Learning",Computer Science
8c428837-6952-4a87-baed-0aaf484e0b5a,Edward Clark,"Materials Science,Polymer Science",Chemistry
e928f3fd-f84f-40e3-b2a0-caee2a91001d,Emily Thompson,"Cognitive Psychology,Social Psychology,Health Psychology",Psychology
1b2cc69e-a04c-43b7-8249-92fed6c78b5f,Brad Hodges,"Materials Science,Biochemistry,Physical Chemistry",Chemistry
b1ac9df0-311f-4bed-bb9b-69d1e9b15a61,John Smith,"Environmental Engineering,Mechanical Engineering,Civil Engineering",Engineering
fdf2c40e-abd1-4725-bc22-b226dfa0a17e,Rachel Howe,"History of Science,World History",History
e99b9dbf-1494-4d39-8054-b8e53e14f195,William Abbott,"Environmental Chemistry,Physical Chemistry,Theoretical Chemistry",Chemistry
7f9f6611-3689-4771-b3e7-1f663b6dec47,Matthew Johnson,"Theoretical Physics,Quantum Mechanics",Physics
c41cde3c-18e5-49f4-a237-7e173fd4d3b0,John Hunter,"International Economics,Econometrics,Financial Economics",Economics
2edd9552-dac6-4464-aa58-5ddfac756a16,Patrick Price,"Personality Psychology,Developmental Psychology",Psychology
310fc3ea-5afd-4b4c-b3e0-d536c3be65e7,Gregory Perez,"Human-Computer Interaction,Machine Learning,Quantum Computing",Computer Science
6bdb73b6-964b-466a-a26d-682c31a9428a,Patricia Gordon,"Social History,Cultural History",History
9081821f-7afe-471a-a966-02ebc3715876,Raymond Henderson,"Materials Science,Inorganic Chemistry",Chemistry
a844cbed-ab46-4463-91d8-7b8415bbd7e2,Sarah Bennett,"Literary Criticism,Drama,Narrative Theory",Literature
6ba357d0-a7c3-4f97-9661-78d77f2c9f46,Margaret Olson,"Creative Writing,Poetry",Literature
6c9d8756-2564-4616-969d-31c6f65186a7,David Cooper,"Polymer Science,Medicinal Chemistry",Chemistry
a4182863-6f75-4508-82a6-0d9edf81cbe5,Jonathan Russell,"Civil Engineering,Environmental Engineering,Biomedical Engineering",Engineering
59c19cb9-aa9c-4aed-b02a-0f5faf0f85c9,Meghan Smith,"Microeconomics,Labor Economics",Economics
79f67b95-242a-4c77-8435-0f88bcf75f84,Mary White,"Biomedical Engineering,Mechanical Engineering,Aerospace Engineering",Engineering
ab1c60ed-f758-4d0d-94d8-a8bc9eacdeec,Steve Bryant,"Environmental Chemistry,Polymer Science",Chemistry
92d8aa6f-4ad6-4464-b6ef-f95e21409606,Amber Lewis,"Health Psychology,Developmental Psychology",Psychology
64664343-6819-41b8-b71f-7214761ad740,Laura Meza,"Cognitive Psychology,Forensic Psychology,Psychometrics",Psychology
b5bcca17-bb20-4646-969f-5c001967a73e,James Payne,"Ecology,Conservation Biology,Evolutionary Biology",Biology
a9a9049a-7b9b-426d-8908-91be8523bb5e,Kelly Olson,"Nuclear Physics,Condensed Matter Physics,Cosmology",Physics
7afcda18-9ca4-436a-a3cb-826480e01c57,Tara Orr,"Statistics,Differential Equations",Mathematics
7a96ccd0-4bd0-462c-b3a0-1b415e3c71be,Jacqueline Rose,"Civil Engineering,Mechanical Engineering,Aerospace Engineering",Engineering
a3b40f06-6748-44cd-8ec8-1c394f461914,Jessica Jordan,"History of Science,Cultural History,Medieval History",History
